"GEO_ID","NAME","K200201_001E","K200201_001M","K200201_002E","K200201_002M","K200201_003E","K200201_003M","K200201_004E","K200201_004M","K200201_005E","K200201_005M","K200201_006E","K200201_006M","K200201_007E","K200201_007M","K200201_008E","K200201_008M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races",
"0400000US06","California","39250017","*****","23420234","62421","2265280","14911","290133","15511","5602074","18509","150521","6036","5642125","65579","1879650","30456",
"0500000US06001","Alameda County, California","1647704","*****","688067","9112","174855","3980","10122","2362","483856","5403","13865","1066","171152","10622","105787","6534",
"0500000US06005","Amador County, California","37383","*****","32419","740","930","297","291","193","283","181","224","245","1440","501","1796","585",
"0500000US06007","Butte County, California","226864","*****","187892","2607","3563","796","2567","739","10665","1086","811","498","9577","2534","11789","1988",
"0500000US06009","Calaveras County, California","45171","*****","41162","803","9","21","516","641","412","285","0","206","401","399","2671","588",
"0500000US06011","Colusa County, California","21588","*****","18970","1181","215","403","171","139","113","141","0","206","1485","933","634","430",
"0500000US06013","Contra Costa County, California","1135127","*****","658852","10278","97413","4203","3159","1049","183849","5126","4891","1303","104400","10356","82563","7700",
"0500000US06015","Del Norte County, California","27540","*****","20123","1761","630","605","2985","773","1948","847","84","134","572","386","1198","961",
"0500000US06017","El Dorado County, California","185625","*****","162495","2175","1795","302","2379","796","8904","941","462","625","3745","1717","5845","1659",
"0500000US06019","Fresno County, California","979915","*****","640619","11666","47646","1868","10176","2204","101993","1767","1183","640","143649","11291","34649","5110",
"0500000US06021","Glenn County, California","28085","*****","21960","1485","330","325","519","157","526","576","0","206","3790","1422","960","419",
"0500000US06023","Humboldt County, California","136646","*****","110795","1826","1172","545","7228","1538","4212","1001","0","206","3154","1153","10085","2014",
"0500000US06025","Imperial County, California","180883","*****","110971","6532","4122","444","1808","683","2731","138","301","450","54515","6397","6435","1983",
"0500000US06029","Kern County, California","884788","*****","642077","11728","47668","3254","11936","4361","40615","2200","3142","2611","106937","9374","32413","4661",
"0500000US06031","Kings County, California","149785","*****","99706","4650","10028","1370","2083","669","5238","1183","472","416","25665","4017","6593","1995",
"0500000US06033","Lake County, California","64116","*****","49293","1711","914","725","2815","1100","343","389","0","206","8582","1804","2169","1020",
"0500000US06035","Lassen County, California","30870","*****","25590","330","2427","326","881","463","372","235","312","355","534","296","754","453",
"0500000US06037","Los Angeles County, California","10137915","*****","5093898","33145","826516","8807","65370","6706","1474575","7762","26104","1971","2258451","32234","393001","12340",
"0500000US06039","Madera County, California","154697","*****","109705","5232","4535","928","3262","2146","2748","636","312","466","28121","5377","6014","1682",
"0500000US06041","Marin County, California","260651","*****","200426","3755","6114","1283","274","245","13886","1329","397","433","25607","4031","13947","2261",
"0500000US06045","Mendocino County, California","87628","*****","71202","2564","412","332","3169","1025","1125","348","231","262","5887","2641","5602","1509",
"0500000US06047","Merced County, California","268672","*****","149377","7261","8492","802","2522","840","21156","857","32","56","77857","7468","9236","2702",
"0500000US06053","Monterey County, California","435232","*****","242774","8535","11055","996","1903","767","24852","1665","1086","704","135093","8640","18469","2446",
"0500000US06055","Napa County, California","142166","*****","110943","3409","2718","541","1160","550","11301","771","269","110","10439","3256","5336","1211",
"0500000US06057","Nevada County, California","99107","*****","91701","1352","197","182","490","415","1742","549","0","206","1414","1243","3563","672",
"0500000US06059","Orange County, California","3172532","*****","1986194","19801","53602","2886","13443","2093","637622","4687","10791","1591","352857","19663","118023","7777",
"0500000US06061","Placer County, California","380531","*****","309901","3759","5796","867","2292","1425","26369","1895","392","281","15303","3250","20478","2823",
"0500000US06065","Riverside County, California","2387741","*****","1406044","18690","152433","4274","20442","4027","149105","4509","7583","1137","544724","18100","107410","8716",
"0500000US06067","Sacramento County, California","1514460","*****","882763","10105","148706","4325","10265","2112","230645","5067","16214","1649","117768","10471","108099","6811",
"0500000US06069","San Benito County, California","59414","*****","48146","2414","221","210","396","309","1766","775","25","54","4898","2144","3962","1173",
"0500000US06071","San Bernardino County, California","2140096","*****","1314742","15771","182864","5421","15077","3001","152270","3157","6381","1208","364338","15183","104424","9040",
"0500000US06073","San Diego County, California","3317749","*****","2385470","13363","165878","4873","24980","4012","389369","7045","14356","2378","169165","11416","168531","9351",
"0500000US06075","San Francisco County, California","870887","*****","404410","5260","43468","2007","3054","923","300409","3813","1967","622","70599","6070","46980","3525",
"0500000US06077","San Joaquin County, California","733709","*****","417952","8981","52126","1908","5428","1925","111547","3304","4697","545","74430","8657","67529","6640",
"0500000US06079","San Luis Obispo County, California","282887","*****","238692","4625","5167","921","2262","874","10989","1132","28","51","16126","4484","9623","1989",
"0500000US06081","San Mateo County, California","764797","*****","388724","8148","17413","1505","3102","1166","214801","3512","10756","665","85183","8073","44818","5557",
"0500000US06083","Santa Barbara County, California","446170","*****","341741","8761","8202","939","4863","1784","24802","1753","94","117","46374","7599","20094","2993",
"0500000US06085","Santa Clara County, California","1919402","*****","844820","12614","47142","2577","8787","2588","683532","5551","8602","1083","227352","12687","99167","6847",
"0500000US06087","Santa Cruz County, California","274673","*****","203973","6944","2908","730","1797","1006","13692","1246","43","74","40674","7208","11586","2286",
"0500000US06089","Shasta County, California","179631","*****","158293","1181","1791","496","2942","822","6016","877","77","124","1522","651","8990","1413",
"0500000US06093","Siskiyou County, California","43603","*****","37020","558","153","143","2052","508","834","169","117","146","215","160","3212","639",
"0500000US06095","Solano County, California","440207","*****","219084","5523","64438","2738","1568","594","66560","2461","3713","722","46315","5117","38529","4374",
"0500000US06097","Sonoma County, California","503070","*****","371195","7398","8632","1893","4397","1312","21487","1579","1542","650","71200","8437","24617","4076",
"0500000US06099","Stanislaus County, California","541560","*****","395715","8826","17096","1389","3427","1152","30615","1763","3166","605","68689","8789","22852","3334",
"0500000US06101","Sutter County, California","96651","*****","69300","1659","1672","607","653","263","14849","2382","501","135","3331","1229","6345","2791",
"0500000US06103","Tehama County, California","63276","*****","56073","1789","500","322","1034","775","1066","161","0","206","1679","1149","2924","1208",
"0500000US06107","Tulare County, California","460437","*****","340284","8818","6167","1041","6233","1839","20506","5985","908","349","72610","7194","13729","2347",
"0500000US06109","Tuolumne County, California","53804","*****","46880","1062","989","562","1383","828","349","282","147","142","512","319","3544","1227",
"0500000US06111","Ventura County, California","849738","*****","681115","6764","14929","1203","5746","2319","60772","2453","1787","739","45523","6228","39866","4606",
"0500000US06113","Yolo County, California","215802","*****","151935","3886","5476","864","1835","1134","30155","1727","836","503","11635","3237","13930","3140",
"0500000US06115","Yuba County, California","75275","*****","56042","2046","2331","352","1046","615","3656","1468","1376","989","3971","1989","6853","1808",
