"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied",
"0400000US06","California","12717801","18352","6909176","36701","5808625","20821",
"0500000US06001","Alameda County, California","558907","1624","294644","2394","264263","2490",
"0500000US06003","Alpine County, California","358","62","282","54","76","33",
"0500000US06005","Amador County, California","13925","456","10577","431","3348","382",
"0500000US06007","Butte County, California","85318","841","50031","1005","35287","1079",
"0500000US06009","Calaveras County, California","18060","399","14266","450","3794","449",
"0500000US06011","Colusa County, California","6966","166","4331","220","2635","240",
"0500000US06013","Contra Costa County, California","384646","1380","248668","2347","135978","2113",
"0500000US06015","Del Norte County, California","9420","344","5704","367","3716","372",
"0500000US06017","El Dorado County, California","67086","889","49861","857","17225","890",
"0500000US06019","Fresno County, California","296305","1246","156474","1715","139831","1784",
"0500000US06021","Glenn County, California","9497","255","5855","309","3642","356",
"0500000US06023","Humboldt County, California","53036","637","29128","800","23908","760",
"0500000US06025","Imperial County, California","46452","648","25777","741","20675","720",
"0500000US06027","Inyo County, California","7957","211","5110","267","2847","251",
"0500000US06029","Kern County, California","259700","1565","147125","2011","112575","2161",
"0500000US06031","Kings County, California","41554","561","21363","716","20191","787",
"0500000US06033","Lake County, California","26993","581","17014","662","9979","624",
"0500000US06035","Lassen County, California","9707","439","6315","329","3392","368",
"0500000US06037","Los Angeles County, California","3263069","4935","1499879","9704","1763190","7102",
"0500000US06039","Madera County, California","43159","755","26275","788","16884","713",
"0500000US06041","Marin County, California","103670","720","64729","904","38941","882",
"0500000US06043","Mariposa County, California","7345","316","5224","316","2121","273",
"0500000US06045","Mendocino County, California","34017","552","19679","624","14338","676",
"0500000US06047","Merced County, California","77692","633","40124","876","37568","901",
"0500000US06049","Modoc County, California","3745","214","2767","197","978","158",
"0500000US06051","Mono County, California","4906","405","2919","277","1987","390",
"0500000US06053","Monterey County, California","125402","1634","61747","1322","63655","1136",
"0500000US06055","Napa County, California","49494","593","29678","625","19816","723",
"0500000US06057","Nevada County, California","40993","635","29683","674","11310","722",
"0500000US06059","Orange County, California","1009353","2510","582151","3994","427202","3579",
"0500000US06061","Placer County, California","135456","880","94966","1117","40490","1146",
"0500000US06063","Plumas County, California","8217","315","5942","276","2275","213",
"0500000US06065","Riverside County, California","699232","2422","453139","3514","246093","2832",
"0500000US06067","Sacramento County, California","522596","1924","289606","2370","232990","2262",
"0500000US06069","San Benito County, California","17198","179","10778","360","6420","369",
"0500000US06071","San Bernardino County, California","614325","2548","366514","3589","247811","3209",
"0500000US06073","San Diego County, California","1094157","3409","579079","4373","515078","4081",
"0500000US06075","San Francisco County, California","353287","1742","128698","1830","224589","2055",
"0500000US06077","San Joaquin County, California","219073","1110","124087","1583","94986","1600",
"0500000US06079","San Luis Obispo County, California","103576","1306","59714","1181","43862","1261",
"0500000US06081","San Mateo County, California","259711","1085","153422","1636","106289","1589",
"0500000US06083","Santa Barbara County, California","142713","752","74083","1107","68630","1243",
"0500000US06085","Santa Clara County, California","621463","1599","352836","2313","268627","2100",
"0500000US06087","Santa Cruz County, California","94802","713","54628","733","40174","816",
"0500000US06089","Shasta County, California","69375","726","43331","882","26044","812",
"0500000US06091","Sierra County, California","1252","134","981","131","271","100",
"0500000US06093","Siskiyou County, California","19133","383","12199","365","6934","386",
"0500000US06095","Solano County, California","143612","823","86079","1315","57533","1155",
"0500000US06097","Sonoma County, California","187782","1212","111590","1472","76192","1352",
"0500000US06099","Stanislaus County, California","169196","975","95954","1376","73242","1288",
"0500000US06101","Sutter County, California","31917","334","18864","571","13053","587",
"0500000US06103","Tehama County, California","23704","442","16008","505","7696","538",
"0500000US06105","Trinity County, California","5484","254","3778","245","1706","255",
"0500000US06107","Tulare County, California","133570","781","75685","1241","57885","1133",
"0500000US06109","Tuolumne County, California","22133","641","15129","519","7004","606",
"0500000US06111","Ventura County, California","268969","898","172609","1483","96360","1519",
"0500000US06113","Yolo County, California","71997","602","37504","772","34493","909",
"0500000US06115","Yuba County, California","25139","409","14593","505","10546","515",
